republican,incumbent,marriage_perception,marriage_opinion,religexempt_perception,religexempt_opinion,gunsbanassault_perception,gunsbanassault_opinion
0,0,60,42,80,57,,45
1,1,58,63,45,41,,60
0,0,50,64,50,38,,68
1,1,55,58,45,39,,66
0,0,30,56,60,44,,58
0,0,20,47,20,48,10,47
0,0,0,69,0,26,,75
0,0,51,62,45,37,,67
1,0,30,71,65,36,,67
0,1,60,,70,,10,
0,0,65,60,55,46,,61
0,0,55,60,53,38,,67
0,0,10,47,80,48,,52
1,1,20,46,60,51,,45
0,0,60,67,40,36,,69
0,1,80,72,75,35,,68
0,1,60,62,30,31,,72
0,1,40,54,35,30,60,77
0,0,100,62,0,42,,62
0,1,80,78,30,30,,78
0,1,60,71,35,30,,76
1,0,50,71,50,26,50,76
1,1,2,62,90,44,,62
0,0,99,52,50,46,1,55
0,0,50,52,50,43,45,59
1,0,45,40,60,50,40,55
1,1,5,40,80,53,5,48
1,0,50,61,60,39,20,60
0,1,10,45,50,47,0,53
1,0,70,57,70,45,,52
1,1,30,46,60,45,,58
0,0,35,58,35,44,55,66
0,0,70,49,50,47,50,48
0,1,60,65,25,37,,68
1,0,70,53,80,42,50,54
0,0,55,66,20,38,,65
0,1,20,42,30,48,,50
1,0,50,72,40,35,20,68
0,1,50,70,50,29,,69
0,0,80,51,80,47,90,48
1,0,75,71,60,35,15,68
1,0,70,68,30,40,40,70
0,1,75,60,25,35,65,70
1,0,45,52,65,46,10,58
1,0,25,63,50,38,40,61
1,1,5,47,95,55,2,44
0,0,10,47,80,51,,46
0,1,50,58,20,40,,65
1,0,60,68,50,37,,65
0,0,40,53,60,48,,51
0,0,40,45,10,44,75,58
0,1,55,60,40,38,,60
1,1,25,59,70,45,,58
0,1,25,47,50,32,20,74
1,0,50,64,100,36,,70
1,0,45,56,60,43,30,59
1,0,90,70,15,27,,77
0,0,75,37,50,53,75,50
1,0,50,74,10,34,,68
0,0,60,63,30,38,,61
1,1,40,59,30,46,,56
1,0,80,69,40,30,60,71
1,0,65,61,80,39,20,58
0,0,43,51,45,46,,58
0,1,80,62,20,24,60,82
0,1,60,64,40,36,,70
0,0,75,,75,,,
1,0,50,60,40,33,,71
0,1,75,68,15,34,40,67
1,0,75,61,80,37,50,66
0,0,60,57,55,42,,64
1,1,50,62,50,38,50,60
1,0,60,66,60,32,25,64
1,1,35,52,55,45,35,56
0,0,70,63,40,42,,67
0,0,60,61,40,40,,67
0,0,65,66,50,34,50,67
1,0,60,71,70,34,,67
0,0,40,46,50,53,,45
1,0,20,43,80,51,10,50
0,0,40,54,40,29,80,78
0,1,25,43,75,53,,50
1,1,10,54,40,44,,54
1,0,20,53,80,48,20,50
0,0,50,57,50,46,,52
0,0,51,46,49,53,,50
0,1,50,84,50,23,75,83
1,0,40,61,60,38,,59
0,1,80,71,30,32,50,68
0,0,65,50,30,44,,58
1,0,50,65,15,36,35,62
0,0,40,60,80,38,50,66
0,0,60,49,60,49,,55
0,1,75,87,15,26,,84
0,0,85,74,25,35,95,68
1,1,65,60,35,39,,58
0,0,54,61,40,41,60,66
0,0,70,60,25,33,,68
1,0,40,41,90,49,,55
0,0,55,56,35,42,,56
0,0,70,71,40,34,,68
0,0,70,50,50,49,,47
0,0,55,65,30,37,,62
0,0,10,63,90,38,10,62
0,1,55,50,45,45,,58
0,0,60,67,45,37,,71
1,0,30,57,40,36,15,58
0,0,40,56,30,43,30,59
1,0,60,59,50,40,,59
1,0,25,53,70,45,,52
1,0,20,53,60,37,,68
0,0,40,53,40,44,30,58
0,0,5,39,75,48,10,55
0,1,65,64,75,34,,63
1,1,40,50,55,49,30,49
1,1,10,57,70,44,,55
0,0,80,70,20,33,80,75
1,0,5,40,80,53,,51
1,0,10,49,95,44,0,57
0,1,51,50,44,49,8,49
1,0,30,52,70,46,,57
1,0,40,61,60,40,,66
0,1,70,60,50,41,40,56
0,0,15,35,50,53,,49
0,1,25,53,50,30,,72
1,1,50,61,57,44,35,56
1,0,80,72,60,34,,71
0,0,30,58,55,44,10,61
0,1,75,,25,,60,
1,0,25,57,75,44,,56
0,1,60,74,50,34,60,71
0,0,15,48,50,48,0,57
0,1,80,69,80,28,,71
0,1,65,76,35,29,60,76
0,0,40,56,75,48,25,50
1,1,5,50,20,50,,55
0,1,50,54,60,47,20,53
1,1,65,44,70,44,,58
0,0,55,47,40,50,,46
0,0,50,53,60,43,,59
0,0,50,59,80,46,50,62
1,0,50,50,70,44,25,57
0,0,60,73,50,36,20,69
1,1,30,52,80,46,20,52
0,0,25,50,60,45,10,55
0,0,5,46,90,49,,53
0,0,55,56,55,47,,58
0,0,40,54,50,43,3,60
0,0,50,54,25,46,10,61
0,1,85,66,20,35,,65
1,0,5,43,95,48,5,53
0,0,20,47,50,50,,52
0,0,90,70,40,36,50,67
1,0,20,48,50,46,40,56
1,0,60,68,60,36,,67
0,0,50,40,90,53,,48
0,1,50,73,,26,,76
0,0,40,48,80,51,40,51
1,0,45,62,50,40,55,60
0,0,23,57,32,41,25,59
0,0,25,49,50,48,,55
1,0,1,67,3,34,0,69
0,0,50,51,50,47,,49
0,0,70,66,25,36,,64
1,0,55,66,40,36,,62
1,1,50,49,60,47,30,59
1,1,50,47,75,54,,45
0,0,80,69,45,35,25,65
0,0,40,49,40,49,,49
0,1,55,57,40,41,45,64
0,0,71,61,30,36,,69
1,0,55,63,40,39,,59
0,0,85,74,15,28,85,73
1,0,55,75,51,30,,74
1,0,5,42,5,50,10,50
1,0,35,58,80,43,2,62
0,0,20,45,50,51,,51
0,1,45,65,30,30,70,67
0,1,75,71,90,35,,68
0,1,95,77,15,28,50,76
0,1,75,66,30,35,,64
1,0,50,59,50,25,10,78
0,0,75,53,50,42,50,59
1,0,39,70,60,39,15,66
1,1,50,60,90,47,10,54
0,0,55,56,10,33,,73
0,0,100,54,0,51,,50
1,0,30,62,35,37,,67
0,0,40,68,70,38,,65
1,1,5,44,50,49,,55
0,1,65,60,35,27,65,78
0,0,60,65,30,40,,62
0,0,50,59,10,31,,73
0,0,65,62,35,37,,68
1,1,25,48,65,48,,60
0,1,55,68,30,33,40,65
0,1,90,65,10,36,65,64
0,1,60,65,20,36,,64
0,1,75,65,30,34,,65
0,0,60,62,20,43,,55
1,0,80,73,20,34,35,68
1,1,10,41,60,51,,54
0,1,80,59,40,41,50,65
0,1,70,61,80,35,,69
1,0,35,51,80,52,,48
0,1,70,69,30,32,60,69
1,1,50,75,90,32,50,70
1,1,40,53,60,46,25,52
1,1,45,72,,35,,73
0,0,40,66,70,37,,69
1,1,20,39,50,52,,53
0,0,60,59,40,40,40,63
1,1,50,68,55,34,40,68
0,0,70,71,40,36,60,73
0,1,40,53,5,31,45,72
0,1,75,62,20,36,75,68
1,0,30,53,70,45,,51
1,1,51,50,80,48,,54
1,1,20,48,90,51,5,47
0,1,55,46,48,45,,59
1,0,20,49,80,51,10,46
1,1,35,56,70,43,15,62
0,1,65,63,35,35,,61
0,0,10,47,35,51,15,45
0,0,40,58,60,44,,63
1,1,75,74,80,34,40,72
1,0,1,65,,36,,67
1,0,10,38,40,53,10,48
1,0,60,68,55,34,30,74
0,0,70,55,48,46,60,53
1,0,11,46,70,41,,61
1,0,35,55,70,41,,55
0,0,66,68,33,37,,64
1,0,80,60,40,38,60,67
1,0,45,52,60,46,,58
0,0,60,56,30,49,,55
1,0,50,61,50,37,30,69
0,1,50,62,60,38,30,68
0,0,30,45,60,50,25,56
1,0,50,58,70,42,25,61
0,1,70,61,20,32,75,70
0,1,10,54,10,29,,78
0,1,70,63,35,37,60,62
1,1,60,60,50,43,,63
1,1,15,51,65,38,30,65
1,0,49,59,51,42,49,61
0,0,52,56,45,42,,63
1,0,40,65,40,40,10,62
0,0,50,51,50,48,50,54
0,1,55,55,45,44,,58
1,0,60,43,65,51,50,54
0,0,100,70,0,37,100,67
1,1,15,59,75,47,20,59
1,1,55,58,40,44,,61
1,0,45,61,33,27,40,79
0,0,65,61,60,44,,56
1,0,50,73,50,33,,70
0,1,80,75,30,34,75,71
0,1,40,49,30,38,,67
0,0,80,63,60,35,50,63
0,1,85,76,20,29,55,72
0,1,85,73,30,29,70,70
1,0,45,63,30,32,,67
0,1,40,55,40,29,,75
1,0,50,56,60,44,,60
0,0,50,62,30,36,,63
1,1,20,46,5,55,,44
0,0,60,55,25,43,15,57
1,1,35,55,70,44,,54
0,1,65,60,10,39,45,67
0,0,50,44,30,41,60,61
1,0,75,68,35,35,65,73
1,1,45,54,60,43,,59
0,0,45,54,9,42,,60
0,1,10,45,60,45,5,54
0,0,75,67,25,39,65,69
0,0,45,69,15,30,,69
0,0,20,47,50,49,,55
0,0,40,59,50,40,,64
1,0,80,78,50,33,,77
1,1,30,47,75,50,,45
1,1,10,47,80,50,,45
0,1,40,58,30,38,,58
1,0,50,64,40,36,,68
1,0,25,67,25,32,25,67
0,1,75,,25,,69,
0,0,90,76,20,31,,73
0,0,40,54,20,46,40,59
0,0,45,56,50,43,20,63
0,0,40,57,60,47,,58
1,1,45,62,55,41,,66
0,0,75,64,35,36,,68
0,0,60,80,10,27,,79
1,0,30,61,50,36,,69
0,1,80,68,40,35,,66
1,0,80,63,20,25,,81
1,0,40,65,70,38,,63
1,1,25,53,55,46,25,56
0,0,85,69,32,37,70,66
0,0,60,64,60,42,,66
0,0,15,60,85,39,,65
0,0,90,62,80,39,50,61
1,0,15,51,90,46,,55
0,1,80,61,25,41,10,58
1,1,45,71,50,38,,67
0,0,50,48,50,49,30,46
1,0,20,43,65,53,,49
0,0,30,65,,36,,64
0,1,50,74,25,26,65,74
1,1,35,46,85,50,,54
1,0,20,66,90,34,50,65
0,1,75,69,50,32,,74
1,0,70,72,10,30,,73
0,1,80,71,20,32,70,70
0,0,70,62,25,37,60,65
0,0,48,53,10,44,,53
1,0,75,68,15,33,,63
1,0,5,65,70,31,,66
0,0,80,57,5,35,65,60
0,0,20,43,65,54,,46
0,0,55,65,30,36,45,63
1,0,40,49,40,52,,48
0,0,75,60,25,35,75,60
0,0,80,49,20,47,,59
0,0,45,53,50,49,75,55
1,0,30,48,60,54,25,50
0,0,70,62,10,38,,61
0,0,50,45,60,52,,49
0,0,75,58,30,42,40,61
1,0,51,71,,35,,68
1,1,10,42,80,55,,42
0,0,60,59,60,40,,56
0,0,20,45,60,48,,59
0,0,10,47,60,47,,56
0,0,70,69,40,37,,71
0,0,10,44,60,48,,56
1,1,30,41,70,48,,53
1,1,10,54,65,49,,52
0,0,55,69,45,37,50,66
1,0,70,78,30,33,70,77
0,0,60,54,30,44,25,61
0,1,75,71,15,34,,67
0,0,80,55,60,50,,56
0,0,70,58,15,40,,58
0,0,30,55,40,48,,58
1,1,20,38,80,56,,45
1,0,25,57,60,46,25,52
0,0,65,56,30,42,30,61
0,0,40,47,60,48,40,54
0,0,55,62,40,40,,64
0,1,,57,20,42,65,54
0,0,60,51,50,46,5,58
0,1,48,57,51,38,49,64
0,0,40,53,50,44,,58
0,0,40,55,23,39,35,65
0,0,40,50,60,47,,57
0,1,60,60,48,40,,62
1,0,75,80,55,30,75,74
0,0,30,55,70,46,,58
0,1,51,50,40,43,,58
0,0,30,47,60,49,,53
0,0,70,65,25,34,,65
1,1,35,55,65,43,,52
0,0,60,70,30,22,70,84
0,0,50,47,75,47,15,55
0,0,60,71,40,36,,67
1,0,35,38,80,47,20,56
0,1,20,41,20,48,,56
1,0,65,66,20,33,,65
0,0,30,60,70,41,,56
0,1,55,56,40,27,50,77
0,0,40,48,50,48,,48
0,1,60,59,20,41,60,65
0,0,60,50,60,45,,51
0,1,60,63,30,30,,75
1,0,10,35,90,54,5,48
1,0,20,57,75,45,,60
0,0,75,68,40,36,60,70
1,1,25,66,60,39,25,63
0,0,75,60,30,23,60,78
0,0,50,67,75,18,100,85
0,1,70,70,25,36,,66
0,1,90,70,10,34,,67
0,0,45,59,70,45,,58
1,1,25,41,80,44,20,57
0,0,35,49,80,50,,52
0,1,75,74,20,29,,71
0,1,75,65,35,39,,63
0,0,45,66,80,43,,66
0,1,60,69,20,30,75,69
0,1,50,62,50,37,,66
1,0,60,68,50,37,,69
1,0,50,60,100,37,,64
0,1,10,55,10,27,20,76
0,1,65,52,30,40,55,64
0,1,75,58,10,41,55,64
0,0,75,54,30,44,,58
1,0,45,48,50,54,5,45
0,0,80,62,40,40,,60
0,0,40,54,50,43,20,54
0,0,70,56,40,43,,63
0,0,50,67,50,34,75,67
0,0,50,48,50,51,,45
0,1,60,63,45,36,,61
0,0,60,76,25,34,,69
0,0,50,74,50,36,50,69
1,0,35,50,65,46,35,48
0,0,51,39,51,51,,51
0,1,48,58,35,33,,69
0,0,80,64,70,38,20,63
1,0,70,69,60,34,60,67
1,0,25,49,50,44,,56
0,1,60,69,20,33,,71
0,0,50,55,65,43,10,62
0,1,45,67,50,33,,71
1,0,10,74,20,29,,73
1,1,50,63,60,41,60,66
1,0,45,59,25,38,15,66
1,0,30,59,70,39,10,65
0,0,40,46,50,50,25,46
1,0,40,74,60,35,,70
0,0,65,56,65,43,,62
1,0,5,36,95,55,,47
0,0,70,57,30,46,,61
1,1,50,45,75,49,,52
0,1,60,50,25,48,,48
0,1,54,62,46,37,20,61
1,1,33,46,85,49,,52
0,0,10,53,20,37,,65
0,1,50,61,10,35,50,70
1,0,30,49,50,51,,48
1,1,20,42,60,50,40,49
1,1,40,69,50,38,25,66
1,1,60,49,40,49,,53
0,0,60,46,40,47,10,54
0,1,75,61,20,32,,69
0,0,55,53,25,43,25,64
1,1,30,50,70,49,,47
1,0,10,38,65,55,45,49
0,1,80,63,40,38,60,61
0,0,50,62,30,43,,63
1,0,50,61,70,38,30,59
0,0,30,55,40,42,50,62
0,0,30,61,40,43,,65
1,0,48,73,50,33,28,68
0,0,20,45,30,47,,58
0,0,50,58,20,46,40,56
1,0,45,62,65,37,,61
1,0,10,58,70,43,,60
1,0,60,74,50,34,10,70
1,0,80,56,60,40,10,56
0,1,,73,,31,,69
0,1,80,72,20,30,90,72
0,0,20,56,80,49,20,50
0,1,65,60,50,37,60,67
0,0,35,43,20,55,5,46
0,1,60,60,33,38,,58
1,1,45,55,40,44,,61
0,0,65,62,35,45,50,62
0,0,40,60,60,39,10,65
1,0,40,61,60,38,,63
1,1,5,44,84,48,,54
0,1,80,80,20,25,,78
0,1,60,68,50,37,,65
1,0,65,58,50,38,25,58
0,1,50,71,80,33,,69
0,1,75,68,15,34,60,64
1,0,,74,55,34,,74
0,0,44,63,16,40,,67
0,0,60,60,55,42,,62
0,0,60,63,40,39,,68
0,0,45,57,35,41,35,63
1,0,50,56,30,29,,75
1,1,60,66,20,39,,67
0,1,85,63,33,31,,73
1,0,36,54,84,44,,61
0,0,10,66,10,35,,73
1,0,60,56,25,41,,53
1,0,50,67,60,37,50,70
1,0,25,43,70,56,,42
0,0,50,51,60,43,,57
0,0,50,54,30,45,,59
0,0,20,45,85,53,,50
1,0,35,40,60,52,,52
0,1,55,63,35,32,,64
1,1,,61,55,38,10,66
0,0,25,48,50,51,,47
0,0,40,43,20,44,40,56
0,0,70,46,0,53,,51
0,0,20,45,50,49,20,52
0,0,20,59,75,39,20,64
0,0,60,67,30,37,65,70
0,0,50,59,50,40,40,57
0,0,75,46,60,49,,52
0,0,75,67,25,37,50,65
1,1,50,52,60,45,,51
0,0,30,55,25,29,,75
1,0,10,36,80,45,10,59
1,0,65,70,60,37,20,67
0,1,55,56,10,27,55,78
0,0,85,48,30,51,,47
0,1,85,,35,,35,
0,0,67,66,35,36,67,69
0,1,50,57,50,40,,65
0,0,60,59,40,42,55,56
0,0,30,44,60,54,,43
1,0,50,45,50,45,,59
0,0,39,43,68,48,25,51
1,0,100,65,0,39,,63
0,1,20,59,30,27,80,78
0,0,40,54,60,45,,57
0,0,70,53,35,45,35,52
0,0,70,66,20,37,,62
1,1,45,42,65,49,,52
0,0,20,52,40,46,30,51
0,0,55,58,25,41,60,64
0,1,30,61,30,37,40,60
0,0,49,65,40,37,,69
0,0,65,52,30,45,50,59
1,0,60,70,65,34,,68
0,0,40,41,80,55,,45
0,1,60,59,45,37,55,69
1,1,40,54,40,46,,58
1,0,60,66,40,32,,76
0,0,50,61,40,39,50,60
0,1,85,57,15,36,80,58
0,0,20,47,70,51,60,47
0,0,60,57,40,44,,56
0,1,52,58,45,43,,56
1,1,60,50,25,47,25,50
0,1,60,77,48,31,,77
1,0,45,50,45,43,40,65
1,0,55,66,50,37,30,63
1,0,20,65,30,40,,62
1,0,65,61,50,39,30,67
1,1,20,52,80,51,50,49
0,0,48,47,50,48,,53
1,1,30,49,80,48,10,58
1,0,60,65,25,37,20,63
0,1,100,55,5,41,,63
1,1,25,62,80,45,,59
0,1,85,66,30,36,75,67
1,1,40,69,50,37,,72
1,0,50,58,50,31,50,71
1,1,20,38,65,54,25,44
1,0,55,61,25,36,,60
1,0,10,57,10,30,,74
0,0,25,35,50,52,10,49
0,1,50,57,60,41,,62
0,1,80,62,35,39,52,59
0,0,40,50,60,47,40,49
1,0,55,64,60,38,,62
0,1,50,70,10,34,95,70
1,0,60,62,35,39,,59
0,0,75,58,30,43,,60
1,0,80,74,25,31,75,73
1,0,50,67,70,34,20,67
0,1,90,64,20,32,80,67
0,0,25,47,80,49,,48
1,0,50,59,50,41,25,59
1,1,30,47,70,49,,53
0,0,70,56,35,40,,66
1,1,35,65,70,41,,67
1,0,5,64,20,35,,70
1,0,10,43,90,51,,50
0,1,85,67,10,36,,65
1,1,49,57,60,43,,60
1,0,56,68,52,35,,64
0,1,65,76,15,33,,74
0,0,60,58,50,43,50,62
1,0,45,71,50,29,50,71
0,0,60,71,20,29,,70
1,1,1,46,90,49,,53
1,1,30,46,70,50,,55
1,1,50,53,65,43,30,50
0,0,100,74,0,36,,73
1,0,30,51,55,44,,57
0,0,10,42,80,47,,57
1,1,40,54,80,48,10,50
0,1,0,45,0,46,100,53
1,0,65,69,40,33,,69
0,0,40,43,65,49,30,56
1,1,45,62,52,37,,61
1,1,99,47,80,49,10,47
0,0,60,57,20,43,,62
0,0,100,64,0,40,51,60
0,0,35,58,50,45,,61
0,0,50,60,35,40,,56
0,0,75,67,15,33,,70
1,0,55,59,38,31,35,70
1,0,25,57,40,41,10,56
0,0,10,67,80,40,10,64
0,0,50,47,50,49,5,47
1,0,40,63,10,42,60,60
1,0,60,66,60,33,,70
1,0,50,67,70,32,,69
0,1,90,65,50,36,60,67
1,1,45,54,60,46,,61
1,1,35,50,90,48,,58
1,1,50,72,70,36,20,68
0,1,70,53,30,45,,53
1,0,25,48,50,51,,54
0,0,55,76,45,33,,70
0,1,50,61,50,37,,69
1,1,30,46,50,53,15,45
1,1,40,72,55,35,,73
0,0,20,57,75,45,,56
1,0,60,62,60,38,,68
1,0,62,70,40,34,,66
0,1,50,55,40,41,,60
1,0,45,43,55,38,,68
0,0,60,67,30,39,,64
1,0,45,64,60,38,,68
1,1,45,47,60,49,35,53
0,0,25,50,75,50,20,46
1,0,80,75,50,32,50,73
0,0,65,65,25,34,,69
1,0,55,75,51,30,,74
0,1,40,63,33,38,52,60
0,1,,,10,,60,
1,0,55,71,45,35,55,73
0,0,30,59,50,44,,62
0,0,50,51,30,40,40,63
1,1,60,69,50,37,40,66
0,1,75,61,20,33,,71
0,1,70,66,25,36,,69
0,0,35,57,35,38,40,67
1,0,30,74,75,35,,75
0,0,65,74,35,32,60,72
0,0,75,64,25,36,,70
0,1,45,64,25,37,20,60
1,0,45,56,45,44,30,62
0,0,60,53,60,49,,49
1,0,50,63,30,40,10,58
1,1,20,53,0,44,10,64
1,0,45,46,60,48,,57
0,1,70,66,10,40,,62
1,0,50,60,75,35,60,69
0,1,70,71,25,29,70,70
0,0,40,44,50,47,,53
0,1,50,70,20,37,,67
0,1,,80,,25,,78
0,0,55,53,45,45,,56
0,0,60,58,40,40,,65
0,0,50,66,70,36,,70
1,1,10,46,90,47,,54
1,1,40,46,45,47,,55
0,1,40,63,20,35,,67
0,1,75,56,44,43,2,55
0,0,75,66,25,40,25,62
0,0,60,43,45,52,,54
0,1,50,73,,26,50,76
0,0,40,49,50,50,20,49
0,0,90,68,10,37,60,65
0,0,25,55,50,44,,61
1,1,30,67,40,39,,64
0,0,50,59,10,38,60,57
0,0,80,76,20,31,,71
1,0,50,65,50,37,,69
0,1,60,70,40,37,40,67
1,1,45,60,60,42,50,61
0,1,80,72,5,30,90,77
1,0,25,56,75,44,,62
0,1,50,61,50,34,,62
1,0,20,42,90,54,,40
0,0,20,42,10,53,5,49
0,1,80,59,45,41,60,57
0,0,10,42,90,53,,49
0,1,65,73,20,29,,70
1,1,55,65,48,37,35,63
1,0,27,51,58,44,,57
1,0,10,45,75,50,,50
1,0,10,56,20,37,30,69
1,0,60,64,35,36,35,63
1,0,30,58,15,33,15,69
1,1,25,54,80,46,,53
1,0,20,51,80,48,,58
0,0,70,54,20,45,60,57
0,0,60,49,15,44,,56
0,1,80,47,5,32,,73
0,1,70,69,30,32,,66
0,1,75,77,10,31,,74
0,0,30,50,70,47,10,50
0,0,50,57,25,43,,63
0,0,75,58,10,44,,59
0,0,40,65,50,42,70,66
0,0,65,63,55,36,,69
0,0,10,51,50,46,20,58
1,0,30,54,50,39,20,63
0,0,10,45,75,55,10,43
1,0,40,46,60,50,25,46
0,1,75,68,30,36,30,65
1,1,25,43,25,54,,42
0,0,15,49,70,48,10,57
0,1,60,56,10,37,20,67
1,0,25,42,75,53,0,49
1,1,30,57,70,47,,59
0,1,75,71,25,34,60,68
1,0,10,,90,,,
0,1,75,56,55,37,,67
1,0,15,57,80,44,30,61
0,1,90,73,60,33,,71
0,1,55,76,35,34,60,74
0,0,5,46,70,52,,45
1,0,45,74,40,30,20,70
0,0,55,52,55,47,30,52
0,0,60,50,50,51,40,48
0,1,60,64,50,37,,66
0,1,80,58,40,36,80,68
0,0,50,69,30,38,40,66
1,1,10,71,90,34,10,67
0,0,25,34,75,53,40,48
1,1,55,51,65,48,25,56
1,0,56,68,36,34,,64
1,0,30,73,60,34,,68
1,1,20,63,35,44,15,63
1,1,40,49,80,48,20,49
1,0,10,59,75,43,,58
0,0,60,57,30,43,35,60
0,1,75,55,50,38,60,69
0,0,55,66,55,38,60,64
1,1,15,42,80,52,20,51
1,0,99,68,12,29,95,76
1,0,65,67,65,35,,72
0,0,67,63,40,38,35,62
0,1,,72,25,33,,70
0,0,55,68,55,39,35,64
0,0,69,45,30,53,,45
1,0,80,68,25,33,75,68
0,1,60,56,20,26,,77
1,1,10,53,90,45,,59
0,0,20,57,50,43,20,63
0,0,33,45,40,51,,44
0,0,45,53,45,45,,59
0,1,50,61,,39,,58
1,0,55,58,60,43,,61
0,0,60,71,50,35,40,70
0,0,75,71,30,32,60,69
1,1,40,56,55,43,25,63
0,0,46,51,60,47,40,55
0,0,64,64,47,40,80,60
1,0,50,76,60,32,50,76
0,1,,38,80,47,30,55
0,0,50,46,25,43,25,59
0,1,80,64,20,37,50,62
0,0,10,52,75,47,25,50
1,0,75,66,10,39,,61
0,0,50,43,55,44,,58
1,1,50,51,30,42,,62
0,1,55,53,50,45,,51
1,1,65,50,50,47,,52
1,1,20,51,65,44,,56
0,0,50,64,50,35,,62
1,0,75,73,40,22,,78
1,0,60,52,40,40,40,66
1,1,30,71,80,34,,67
0,1,52,57,35,36,30,57
0,0,40,54,30,43,,61
0,0,65,47,30,53,70,45
1,1,30,52,70,44,10,59
1,1,70,50,70,51,,48
0,0,65,62,40,41,,66
1,1,20,45,70,54,2,44
1,1,10,64,75,39,5,63
0,0,40,51,50,49,50,57
0,0,50,56,45,43,25,54
0,0,60,,50,,,
0,0,60,81,30,32,90,74
0,0,80,60,15,40,,57
0,0,80,52,30,44,,59
0,0,75,58,10,44,,59
1,0,30,50,60,39,,64
0,0,60,57,30,40,,64
0,0,90,56,25,37,,66
0,1,2,32,28,43,1,61
0,0,80,72,20,34,60,71
1,0,30,53,75,44,20,58
0,1,75,69,30,24,,77
1,1,80,63,50,38,20,62
0,1,66,66,23,33,,65
0,0,10,49,10,47,,54
0,0,58,53,35,48,35,51
1,1,45,60,40,40,,63
0,1,60,68,50,37,50,69
0,1,40,60,30,33,60,64
0,0,51,55,40,39,,53
