treat,anyhelp,bystander,femprop,station1,team
Imm w/o Hijab,0,2,.5,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Conservative Att",0,3,.66666669,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,2,.5,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,2,.5,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Conservative Att",1,2,.5,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,2,.5,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,0,1,1,M<9a>nchengladbackh,Team 4
German,1,2,.5,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,2,.5,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,2,.5,M<9a>nchengladbackh,Team 4
German,1,4,.75,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,3,0,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Neutral Att",1,4,.5,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Conservative Att",1,2,.5,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Neutral Att",1,2,1,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,3,.33333334,D<9f>sseldorf,Team 4
German,0,5,.40000001,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Neutral Att",1,4,.75,D<9f>sseldorf,Team 4
German,1,2,.5,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Progressive Att",1,2,.5,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Neutral Att",1,3,.66666669,D<9f>sseldorf,Team 4
German,0,3,0,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,5,.80000001,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Progressive Att",0,3,0,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Progressive Att",1,4,0,D<9f>sseldorf,Team 4
Imm w/o Hijab,0,4,.75,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Progressive Att",0,3,.33333334,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Neutral Att",1,2,.5,D<9f>sseldorf,Team 4
Imm w/o Hijab,0,3,0,D<9f>sseldorf,Team 4
German,1,2,.5,D<9f>sseldorf,Team 4
German,0,3,1,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Neutral Att",0,3,.33333334,D<9f>sseldorf,Team 4
German,1,2,.5,D<9f>sseldorf,Team 4
German,1,2,1,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,1,1,D<9f>sseldorf,Team 4
Imm w/o Hijab,0,1,1,D<9f>sseldorf,Team 4
German,0,4,.25,D<9f>sseldorf,Team 4
German,0,2,.5,D<9f>sseldorf,Team 4
Imm w/o Hijab,0,2,.5,D<9f>sseldorf,Team 4
Imm w/o Hijab,0,3,.66666669,D<9f>sseldorf,Team 4
Imm w/o Hijab,0,4,.75,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,2,.5,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,2,1,D<9f>sseldorf,Team 4
German,1,4,.75,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,3,.66666669,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Conservative Att",1,3,.33333334,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,1,0,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,5,.60000002,D<9f>sseldorf,Team 4
German,0,3,0,D<9f>sseldorf,Team 4
German,1,3,.33333334,D<9f>sseldorf,Team 4
Imm w/o Hijab,0,1,0,Neuss,Team 4
German,1,2,0,Neuss,Team 4
Imm w/o Hijab,1,3,.33333334,Neuss,Team 4
"Imm w/ Hijab, Neutral Att",0,2,.5,Neuss,Team 4
Imm w/o Hijab,1,3,1,Neuss,Team 4
German,0,2,.5,Neuss,Team 4
"Imm w/ Hijab, Neutral Att",0,4,.25,Neuss,Team 4
Imm w/o Hijab,1,1,1,Neuss,Team 4
Imm w/o Hijab,1,2,.5,Neuss,Team 4
Imm w/o Hijab,1,4,.5,Neuss,Team 4
Imm w/o Hijab,1,2,.5,Neuss,Team 4
German,1,2,0,Neuss,Team 4
Imm w/o Hijab,0,1,1,Neuss,Team 4
Imm w/o Hijab,0,1,0,Neuss,Team 4
"Imm w/ Hijab, Neutral Att",1,2,.5,Neuss,Team 4
German,1,3,.66666669,Neuss,Team 4
German,1,1,1,Neuss,Team 4
Imm w/o Hijab,0,1,1,Neuss,Team 4
Imm w/o Hijab,1,2,.5,Neuss,Team 4
Imm w/o Hijab,0,2,0,Neuss,Team 4
Imm w/o Hijab,1,4,.5,Neuss,Team 4
Imm w/o Hijab,0,4,.75,Neuss,Team 4
"Imm w/ Hijab, Neutral Att",0,2,.5,Neuss,Team 4
Imm w/o Hijab,1,2,1,Neuss,Team 4
Imm w/o Hijab,1,2,.5,Neuss,Team 4
German,1,5,.80000001,Neuss,Team 4
Imm w/o Hijab,0,3,1,Neuss,Team 4
Imm w/o Hijab,1,2,.5,Neuss,Team 4
"Imm w/ Hijab, Neutral Att",1,1,0,Neuss,Team 4
"Imm w/ Hijab, Conservative Att",0,4,.5,Neuss,Team 4
Imm w/o Hijab,1,2,1,Neuss,Team 4
German,1,2,.5,Neuss,Team 4
"Imm w/ Hijab, Neutral Att",1,2,1,Neuss,Team 4
Imm w/o Hijab,1,3,1.3333334,Neuss,Team 4
Imm w/o Hijab,0,4,.75,Neuss,Team 4
Imm w/o Hijab,1,2,1,Neuss,Team 4
German,1,2,0,Neuss,Team 4
"Imm w/ Hijab, Neutral Att",1,1,0,Neuss,Team 4
Imm w/o Hijab,0,1,1,Neuss,Team 4
Imm w/o Hijab,0,1,1,Neuss,Team 4
Imm w/o Hijab,0,3,.33333334,Neuss,Team 4
Imm w/o Hijab,1,2,.5,Neuss,Team 4
German,1,1,1,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,2,.5,K<9a>ln (Messe),Team 4
Imm w/o Hijab,0,1,1,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,3,.33333334,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,1,0,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Conservative Att",0,3,.66666669,K<9a>ln (Messe),Team 4
Imm w/o Hijab,0,3,.33333334,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,3,.33333334,K<9a>ln (Messe),Team 4
German,1,2,.5,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Neutral Att",1,1,1,K<9a>ln (Messe),Team 4
German,1,1,0,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Progressive Att",1,1,1,K<9a>ln (Messe),Team 4
German,0,2,.5,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Progressive Att",0,4,.75,K<9a>ln (Messe),Team 4
Imm w/o Hijab,0,2,1,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Neutral Att",1,2,1,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Progressive Att",1,2,.5,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Progressive Att",1,4,.25,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,2,0,K<9a>ln (Messe),Team 4
Imm w/o Hijab,0,1,0,K<9a>ln (Messe),Team 4
Imm w/o Hijab,0,2,.5,K<9a>ln (Messe),Team 4
Imm w/o Hijab,0,1,1,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,2,0,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,2,.5,K<9a>ln (Messe),Team 4
German,1,3,.66666669,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,3,0,K<9a>ln (Messe),Team 4
German,1,3,.66666669,K<9a>ln (Messe),Team 4
German,1,2,.5,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,2,.5,K<9a>ln (Messe),Team 4
German,1,3,.33333334,K<9a>ln (Messe),Team 4
Imm w/o Hijab,0,3,1.3333334,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,3,.33333334,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Conservative Att",1,1,1,K<9a>ln (Messe),Team 4
German,1,3,.66666669,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,2,.5,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,2,.5,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Conservative Att",0,3,1,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Conservative Att",1,2,0,K<9a>ln (Messe),Team 4
German,0,5,.40000001,K<9a>ln (Messe),Team 4
German,0,1,0,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Progressive Att",0,2,0,K<9a>ln (Messe),Team 4
"Imm w/ Hijab, Progressive Att",1,1,1,K<9a>ln (Messe),Team 4
Imm w/o Hijab,1,2,.5,M<9a>nchengladbackh,Team 4
German,1,2,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,0,2,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,2,0,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Conservative Att",0,3,.66666669,M<9a>nchengladbackh,Team 4
German,1,3,1,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Progressive Att",0,2,1,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",0,1,0,M<9a>nchengladbackh,Team 4
German,1,2,.5,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,1,1,M<9a>nchengladbackh,Team 4
German,1,1,1,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,1,0,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,1,1,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,5,.2,M<9a>nchengladbackh,Team 4
German,1,5,1,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,1,1,M<9a>nchengladbackh,Team 4
German,1,3,.33333334,M<9a>nchengladbackh,Team 4
German,1,2,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,1,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,1,1,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,2,.5,M<9a>nchengladbackh,Team 4
German,1,3,.66666669,M<9a>nchengladbackh,Team 4
German,1,2,.5,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,0,1,1,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,0,2,1,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,4,.5,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,0,3,.66666669,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,0,2,.5,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,2,1,M<9a>nchengladbackh,Team 4
German,1,3,.33333334,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Progressive Att",1,2,1,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,2,.5,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Conservative Att",1,1,1,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,1,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,0,3,.66666669,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Progressive Att",1,2,.5,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,5,.40000001,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,2,1,K<9a>ln (Hbf),Team 4
German,1,2,.5,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,2,.5,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,2,.5,K<9a>ln (Hbf),Team 4
German,0,1,0,K<9a>ln (Hbf),Team 4
"Imm w/ Hijab, Neutral Att",0,2,.5,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,3,.66666669,K<9a>ln (Hbf),Team 4
"Imm w/ Hijab, Progressive Att",0,5,.2,K<9a>ln (Hbf),Team 4
"Imm w/ Hijab, Conservative Att",0,2,0,K<9a>ln (Hbf),Team 4
"Imm w/ Hijab, Neutral Att",1,2,1,K<9a>ln (Hbf),Team 4
"Imm w/ Hijab, Progressive Att",0,4,.5,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,2,.5,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,4,.5,K<9a>ln (Hbf),Team 4
"Imm w/ Hijab, Neutral Att",1,3,.66666669,K<9a>ln (Hbf),Team 4
German,1,3,1,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,1,0,K<9a>ln (Hbf),Team 4
"Imm w/ Hijab, Neutral Att",1,2,.5,K<9a>ln (Hbf),Team 4
German,0,1,1,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,0,2,.5,K<9a>ln (Hbf),Team 4
German,1,2,.5,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,0,2,0,K<9a>ln (Hbf),Team 4
"Imm w/ Hijab, Progressive Att",1,2,0,K<9a>ln (Hbf),Team 4
German,1,2,.5,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,2,.5,K<9a>ln (Hbf),Team 4
German,1,3,.66666669,K<9a>ln (Hbf),Team 4
"Imm w/ Hijab, Neutral Att",1,2,1,K<9a>ln (Hbf),Team 4
German,0,2,1,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,0,2,1,K<9a>ln (Hbf),Team 4
"Imm w/ Hijab, Neutral Att",1,2,.5,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,3,.66666669,K<9a>ln (Hbf),Team 4
German,1,3,1,Bonn,Team 4
German,1,2,1,Bonn,Team 4
German,1,4,.5,Bonn,Team 4
"Imm w/ Hijab, Conservative Att",1,2,.5,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",1,3,.33333334,Bonn,Team 4
German,1,1,0,Bonn,Team 4
Imm w/o Hijab,1,3,.66666669,Bonn,Team 4
Imm w/o Hijab,1,2,.5,Bonn,Team 4
Imm w/o Hijab,1,2,.5,Bonn,Team 4
Imm w/o Hijab,1,3,.33333334,Bonn,Team 4
Imm w/o Hijab,1,2,1,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",1,2,.5,Bonn,Team 4
"Imm w/ Hijab, Progressive Att",1,3,.66666669,Bonn,Team 4
Imm w/o Hijab,1,5,0,Bonn,Team 4
Imm w/o Hijab,1,1,0,Bonn,Team 4
"Imm w/ Hijab, Progressive Att",1,3,0,Bonn,Team 4
Imm w/o Hijab,1,2,.5,Bonn,Team 4
Imm w/o Hijab,1,1,0,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",0,3,.66666669,Bonn,Team 4
Imm w/o Hijab,1,2,.5,Bonn,Team 4
German,1,2,1,Bonn,Team 4
"Imm w/ Hijab, Conservative Att",0,2,.5,Bonn,Team 4
Imm w/o Hijab,1,2,1,Bonn,Team 4
German,0,2,.5,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",1,4,.5,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",0,3,.66666669,Bonn,Team 4
"Imm w/ Hijab, Progressive Att",1,1,0,Bonn,Team 4
"Imm w/ Hijab, Progressive Att",0,4,1,Bonn,Team 4
Imm w/o Hijab,1,4,.5,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",0,1,1,Bonn,Team 4
Imm w/o Hijab,1,2,.5,Bonn,Team 4
German,0,3,.33333334,Bonn,Team 4
Imm w/o Hijab,1,3,.66666669,Bonn,Team 4
Imm w/o Hijab,1,2,.5,Bonn,Team 4
Imm w/o Hijab,1,2,.5,Siegen,Team 4
Imm w/o Hijab,1,2,1,Siegen,Team 4
German,1,1,0,Siegen,Team 4
"Imm w/ Hijab, Neutral Att",1,1,0,Siegen,Team 4
Imm w/o Hijab,1,1,0,Siegen,Team 4
Imm w/o Hijab,0,1,1,Siegen,Team 4
Imm w/o Hijab,1,1,1,Siegen,Team 4
Imm w/o Hijab,1,2,.5,Siegen,Team 4
Imm w/o Hijab,1,2,1,Siegen,Team 4
German,1,2,.5,Siegen,Team 4
Imm w/o Hijab,1,2,.5,K<9a>ln (Hbf),Team 4
German,1,1,0,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,3,.33333334,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,0,2,1,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,2,.5,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,1,0,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,3,.66666669,K<9a>ln (Hbf),Team 4
German,1,4,.75,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,1,1,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,2,0,K<9a>ln (Hbf),Team 4
German,1,2,1,K<9a>ln (Hbf),Team 4
"Imm w/ Hijab, Conservative Att",1,2,1,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,0,4,.25,K<9a>ln (Hbf),Team 4
Imm w/o Hijab,1,2,1,Bonn,Team 4
German,1,3,1,Bonn,Team 4
German,1,3,.33333334,Bonn,Team 4
Imm w/o Hijab,1,1,1,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",0,2,.5,Bonn,Team 4
Imm w/o Hijab,0,1,1,Bonn,Team 4
German,1,3,.33333334,Bonn,Team 4
Imm w/o Hijab,1,2,0,Bonn,Team 4
German,1,3,.66666669,Bonn,Team 4
Imm w/o Hijab,1,2,1,Bonn,Team 4
Imm w/o Hijab,1,2,0,Bonn,Team 4
German,1,2,0,Bonn,Team 4
"Imm w/ Hijab, Progressive Att",1,3,.66666669,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",0,2,.5,Bonn,Team 4
German,0,4,1,Bonn,Team 4
Imm w/o Hijab,1,1,0,Bonn,Team 4
German,1,2,.5,Bonn,Team 4
Imm w/o Hijab,1,2,.5,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",1,2,1,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",1,2,0,Bonn,Team 4
Imm w/o Hijab,1,2,.5,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",1,1,0,Bonn,Team 4
Imm w/o Hijab,1,2,.5,Bonn,Team 4
Imm w/o Hijab,1,3,.33333334,Bonn,Team 4
"Imm w/ Hijab, Conservative Att",1,1,2,Bonn,Team 4
Imm w/o Hijab,1,3,.66666669,Bonn,Team 4
Imm w/o Hijab,1,2,1,Bonn,Team 4
Imm w/o Hijab,1,4,1,Bonn,Team 4
Imm w/o Hijab,1,3,.66666669,Bonn,Team 4
"Imm w/ Hijab, Neutral Att",0,2,.5,Bonn,Team 4
Imm w/o Hijab,0,3,.66666669,Bonn,Team 4
German,1,3,.66666669,Bonn,Team 4
Imm w/o Hijab,1,4,.75,Bonn,Team 4
Imm w/o Hijab,0,2,1,Bonn,Team 4
Imm w/o Hijab,1,2,.5,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,1,0,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Progressive Att",0,2,1,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Progressive Att",1,2,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,3,.33333334,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",0,1,1,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,1,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,2,.5,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Progressive Att",1,1,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,1,1,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,2,1,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,3,0,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,3,.33333334,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,1,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,2,1,M<9a>nchengladbackh,Team 4
German,1,2,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,1,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,1,0,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Conservative Att",0,2,.5,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,3,1,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,3,.33333334,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Progressive Att",0,2,.5,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,0,2,1,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,0,1,1,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Conservative Att",0,2,.5,M<9a>nchengladbackh,Team 4
German,0,1,1,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,3,0,M<9a>nchengladbackh,Team 4
German,1,2,.5,M<9a>nchengladbackh,Team 4
German,1,3,.33333334,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,0,2,0,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,2,.5,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,3,0,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Neutral Att",1,2,0,M<9a>nchengladbackh,Team 4
Imm w/o Hijab,1,3,.66666669,M<9a>nchengladbackh,Team 4
"Imm w/ Hijab, Conservative Att",0,1,0,M<9a>nchengladbackh,Team 4
German,1,1,1,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,2,0,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Neutral Att",1,2,.5,D<9f>sseldorf,Team 4
Imm w/o Hijab,0,1,0,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,2,.5,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,2,0,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,4,.75,D<9f>sseldorf,Team 4
German,0,3,.33333334,D<9f>sseldorf,Team 4
German,1,2,.5,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Neutral Att",1,2,.5,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Neutral Att",1,4,.75,D<9f>sseldorf,Team 4
German,1,2,.5,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,2,.5,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,2,2,D<9f>sseldorf,Team 4
Imm w/o Hijab,0,3,.33333334,D<9f>sseldorf,Team 4
Imm w/o Hijab,1,2,.5,D<9f>sseldorf,Team 4
Imm w/o Hijab,0,2,0,D<9f>sseldorf,Team 4
Imm w/o Hijab,0,5,.40000001,D<9f>sseldorf,Team 4
German,0,3,.66666669,D<9f>sseldorf,Team 4
"Imm w/ Hijab, Neutral Att",1,4,.5,D<9f>sseldorf,Team 4
